,map_name,file_names,slope_0.2,norm_slope_0.2,curvature,curvature_linear,curvature_shift,norm_curvature,norm_curvature_linear,norm_curvature_shift,work_total,work_elastic,work_plastic,work_ratio,h_ratio,Er(GPa),H(GPa),mN,Y_name
363,LCV-map1-3mN,LCV-7-map1-indent_0202.txt,114417.08061731076,3.562227688995292,167714.23693204118,16548.858076820736,44.51712308616474,0.4841407791389739,0.5134919395505751,0.014847609812255,118.49825414904592,40.7860242097005,77.71222993934542,0.6558090707530573,0.449683212786458,220.680218,10.951723,3,matrix
364,BV-map1-5mN,s3-b-curves_0372.txt,147750.8208367727,3.870911994432669,174167.0194056189,16443.158336504606,28.501815984640984,0.5934891581316337,0.4292962818889024,0.0057012437537219,267.4202969273477,79.45942604152049,187.9608708858273,0.7028668842473543,0.3854702187665638,216.499754,10.503084,5,matrix
365,SV-map2-3mN,SV-8-map2-indents_0296.txt,103289.61309930823,3.128992802364777,193295.35828161053,17248.662421021938,38.223760351870936,0.4978692507804843,0.5056816598854827,0.012755079555166,122.50250205809184,39.71705110398367,82.78545095410817,0.6757857967247929,0.621251035285114,216.227289,12.524342,3,m6c-matrix
366,SAV-map2-3mN,SA-8-map2-indents_0204.txt,109848.95789588906,3.422843613744161,153563.87148732177,18610.62030246992,0.9668692211422965,0.4436146516654459,0.5776588175328974,0.0003224588832653,119.19579908867269,39.31778503254037,79.87801405613232,0.6701411850656674,0.4462403867238331,221.458679,10.670124,3,matrix
367,SAV-matrix2-3mN,SA-6-3mNim_20230808_1325_00058 LC.txt,79539.33911303485,1.6196884952962172,169593.35039953957,41632.55963402941,-52.37173394192553,0.2017201810580263,0.82986748045133,-0.0174947486908918,86.07912702361475,58.23987712979254,27.83924989382221,0.3234146401854755,0.7107192543379446,243.594213,25.733306,3,matrix
368,BV-map1-5mN,s3-b-curves_0139.txt,146046.08047605545,3.609916794464268,201644.8722412595,18694.380665630182,-233.1480284166031,0.6132433487362916,0.4610916229680996,-0.0466378353710742,229.92588328596716,91.70216949619144,138.2237137897757,0.6011663924668362,0.616675265940885,237.934931,11.460555,5,mc-matrix
369,LCV-map2-3mN,LCV-8-map2-indent_0123.txt,112799.365247291,3.589270158512316,181010.47081411607,14655.67504632624,37.75521488079339,0.5395719291292451,0.4621008697544341,0.012591963450703,117.66635263181097,39.571552134178106,78.09480049763286,0.6636969596737549,0.4484073162506066,219.222849,10.597473,3,matrix
370,SV-map2-3mN,SV-8-map2-indents_0038.txt,92064.35648705535,3.0465818502727,166477.9500909917,15967.186632310502,7.51308150707986,0.5203810117504425,0.5156829378722663,0.0025070481629924,119.25849343737995,40.15399049063595,79.10450294674402,0.6633028865845942,0.4980803130064987,178.979031,11.023166,3,matrix
371,SAV-map2-3mN,SA-8-map2-indents_0099.txt,105888.6658713177,3.415548428628748,145084.06428848815,17180.70491094909,50.412466390114005,0.4491871566834953,0.5520720313259565,0.0168127972018579,124.61836659218942,43.5695433485114,81.04882324367802,0.6503762283204074,0.622103419542372,202.696475,10.334436,3,matrix
372,BV-map1-5mN,s3-b-curves_0253.txt,146523.60499375363,3.68931782351933,191664.8709755033,16991.572811564605,-21.909552233649308,0.6047432661039112,0.4268749811774742,-0.0043826816773968,258.11290934170165,82.6748740061484,175.43803533555325,0.6796949280181115,0.4172504407465801,227.449186,11.226152,5,matrix
373,BV-map2-3mN,3s-a9-b-map2-curves_0160.txt,110348.32976041322,3.501911782984579,162310.55987939413,16588.223418064623,51.87701371784718,0.4851241804458886,0.5237475280650534,0.0173026647172014,125.32366043596804,35.97400253220069,89.34965790376734,0.7129512303817442,0.3711680560457452,215.053878,10.473666,3,matrix
374,LCV-map1-3mN,LCV-7-map1-indent_0200.txt,106168.93683175724,2.769628039807752,242703.42985174025,21543.14184391165,-88.5355771652936,0.4981876193861299,0.5636762636392676,-0.0295285570628126,96.51432497436238,39.71279637660659,56.80152859775579,0.588529512202922,0.4675555734241756,247.112011,15.217561,3,mc-matrix
375,LCV-map2-3mN,LCV-8-map2-indent_0136.txt,110282.79742841209,3.517487061433704,140414.77175841105,18676.38451579228,19.43129835103872,0.4202177883830773,0.5900439688942327,0.0064807210559427,124.51944437359629,42.18704923445436,82.33239513914192,0.6612011124312412,0.5553218193828166,212.334165,10.686363,3,matrix
376,SV-map1-3mN,SV-7-map1-indents_0251.txt,105756.71425107082,3.3336894357132323,174165.52140518432,15611.014400857188,51.207153773046414,0.5179505193131226,0.4916663864823525,0.017079822342744,123.41429606340694,43.26882030655168,80.14547575685526,0.6494018789823075,0.459911295092676,204.014336,11.178272,3,matrix
377,SAV-map1-3mN,SA-7-map1-indent_0199.txt,82589.98256435533,2.211572765665079,-159591.9071946181,53365.210800401605,-181.71837034984603,-0.3369347489274541,1.4161079796625369,-0.0606094243334569,128.08044444289533,56.60079630801618,71.47964813487914,0.5580840107620672,0.6706900581570727,202.401082,15.559982,3,mc
378,SAV-map1-3mN,SA-7-map1-indent_0117.txt,108051.17975580932,3.2387307357464143,224984.3858962405,13278.596049781756,48.22696612785187,0.6051117877093772,0.3977071372310182,0.0160852972489611,109.28246342597434,41.45023845244889,67.83222497352546,0.6207054896733142,0.5238277498525925,228.374818,11.415943,3,mc-matrix
379,SAV-map1-3mN,SA-7-map1-indent_0350.txt,107805.76421801702,3.208138923892081,185167.73679524625,17960.329829535513,16.383598019927707,0.4852587569550788,0.5309924209219932,0.0054644843054059,114.82300473035986,42.76486112351685,72.058143606843,0.6275584215554884,0.416988697898853,222.825536,11.898397,3,matrix
380,SAV-map2-3mN,SA-8-map2-indents_0127.txt,104471.86503888528,3.341778028233174,159468.10261602857,16489.089776152097,26.09258281330626,0.4872000672196422,0.5263415109689913,0.0087021274601558,124.28533883569506,43.07987182778028,81.20546700791478,0.6533792945221658,0.5209041009984878,204.290829,10.454435,3,matrix
381,LCV-map2-3mN,LCV-8-map2-indent_0059.txt,113913.39894202794,3.4761329228012507,177481.1026131089,17090.727879095488,53.197200930377385,0.5010722005626546,0.524435326803302,0.0177420281710166,118.6271516770417,41.40157698870517,77.22557468833652,0.6509940902785938,0.6344783607159069,226.975847,11.561827,3,matrix
382,SAV-map1-3mN,SA-7-map1-indent_0008.txt,96255.57145580642,2.9294002657864,155397.8741092771,21152.87390850723,-132.13132075891554,0.428380083945312,0.6414034843630695,-0.0440702452242023,113.28792649839524,45.80019287584072,67.48773362255452,0.5957186763720184,0.4662639862915009,204.866656,11.643492,3,m6c-matrix
383,BV-map1-5mN,s3-b-curves_0321.txt,149653.80414054872,3.9108580820914223,168873.90756455628,17212.547236927272,20.788866132365424,0.5696760208567024,0.4471255257370964,0.0041584738574018,264.9258098413781,76.62547720865027,188.30033263272784,0.7107662811164791,0.3301010484859757,221.558898,10.503225,5,matrix
384,SV-map1-3mN,SV-7-map1-indents_0145.txt,99477.46188859,3.0868872932854274,155301.59881657176,18401.373114583377,10.046518677004046,0.4464730669440108,0.5698185729156804,0.0033509449888842,119.8105023474814,44.56772511544288,75.24277723203852,0.6280148714660676,0.4320541445167391,201.078411,11.48737,3,matrix
385,SAV-map2-3mN,SA-8-map2-indents_0050.txt,108098.14484910484,3.1659192881662364,200393.2333926173,17777.426786847773,10.152906016346382,0.5119105068405283,0.5188941472378801,0.0033860887026535,114.57494224727932,44.67181309236658,69.90312915491275,0.6101083516502724,0.5010495088360521,222.993282,12.297288,3,mc-matrix
386,LCV-map2-3mN,LCV-8-map2-indent_0282.txt,107689.91423262205,5.259806021867688,133866.70931272017,1080.4403236057587,75.96063558359307,0.9471975126752912,0.0524858953494389,0.0253340429914367,158.70218057699978,38.01734889068928,120.6848316863105,0.7604484780708866,0.2233341555237497,143.726859,4.969466,3,mc-matrix
