element,grain_size_um,flow_stress_MPa,plastic_strain,test_method,reference
Ta,0.72,806.0,0.002,TT,14
Ta,0.63,853.0,0.002,TT,14
Ta,0.52,923.0,0.002,TT,14
Ta,906.0,221.0,LYS,TT,32
Ta,846.0,230.0,LYS,TT,32
Ta,601.0,202.0,LYS,TT,32
Ta,213.0,225.0,LYS,TT,32
Ta,174.0,235.0,LYS,TT,32
Ta,175.0,240.0,LYS,TT,32
Ta,55.0,254.0,LYS,TT,32
Ta,55.0,258.0,LYS,TT,32
Ta,48.0,262.0,LYS,TT,32
Ta,36.0,264.0,LYS,TT,32
Ta,32.0,258.0,LYS,TT,32
Ta,24.0,276.0,LYS,TT,32
Ta,380.0,292.0,-,VH,33
Ta,283.0,295.0,-,VH,33
Ta,310.0,297.0,-,VH,33
Ta,318.0,276.0,-,VH,33
Ta,154.0,270.0,-,VH,33
Ta,97.0,275.0,-,VH,33
Ta,96.0,288.0,-,VH,33
Ta,70.0,267.0,-,VH,33
Ta,63.0,263.0,-,VH,33
Ta,64.0,269.0,-,VH,33
Ta,46.0,272.0,-,VH,33
Ta,42.0,272.0,-,VH,33
Ta,34.0,276.0,-,VH,33
Ta,39.0,293.0,-,VH,33
Ta,21.0,306.0,-,VH,33
Ta,14.0,301.0,-,VH,33
Ta,15.0,314.0,-,VH,33
Ta,16.0,317.0,-,VH,33
Ta,18.0,323.0,-,VH,33
Ta,18.0,321.0,-,VH,33
Ta,17.0,323.0,-,VH,33
Ta,16.0,322.0,-,VH,33
Ta,16.0,325.0,-,VH,33
Ta,15.0,329.0,-,VH,33
Ta,13.0,327.0,-,VH,33
Ta,13.0,319.0,-,VH,33
Ta,12.0,332.0,-,VH,33
Ta,11.0,329.0,-,VH,33
Ta,0.38,693.0,-,VH,33
Ta,0.29,765.0,-,VH,33
Ta,0.26,721.0,-,VH,33
Ta,0.25,708.0,-,VH,33
Ta,0.22,719.0,-,VH,33
Ta,0.076,3867.0,-,NH,35
Ta,0.043,3592.0,-,NH,30
Ta,0.031,4134.0,-,NH,30
Ta,0.036,5197.0,-,NH,30
Ta,0.036,4287.0,-,NH,36
Ta,0.047,3847.0,-,NH,37
Ta,0.038,4056.0,-,NH,37
Cu,240.0,29.0,0.002,TT,72
Cu,320.0,30.0,0.002,TT,72
Cu,50.0,33.0,0.002,TT,72
Cu,50.0,34.0,0.002,TT,72
Cu,57.0,32.0,0.002,TT,72
Cu,39.0,32.0,0.002,TT,72
Cu,46.0,38.0,0.002,TT,72
Cu,26.0,51.0,0.002,TT,72
Cu,30.0,38.0,0.002,TT,72
Cu,32.0,38.0,0.002,TT,72
Cu,33.0,38.0,0.002,TT,72
Cu,32.0,41.0,0.002,TT,72
