*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Nb	0.075	1600	-	VH	28
Nb	0.08	1376	-	VH	28
Nb	0.09	1230	-	VH	28
Nb	0.115	1200	-	VH	28
Nb	0.21	1146	-	VH	28
Nb	0.113	843	-	VH	21
Nb	0.115	806	-	VH	21
Nb	0.1	600	-	VH	21
Nb	0.965	436	-	VH	21
Nb	0.161	836	-	VH	21
Nb	0.129	784	-	VH	21
Nb	0.237	512	-	VH	21
Nb	1.09	383	-	VH	21
Nb	0.91	350	-	VH	21
Nb	875	163	LYS	TT	23
Nb	807	158	LYS	TT	23
Nb	92	167	LYS	TT	23
Nb	29	180	LYS	TT	23
Nb	29	185	LYS	TT	23
Nb	483	134	LYS	TT	24
Nb	220	137	LYS	TT	24
Nb	218	140	LYS	TT	24
Nb	44	146	LYS	TT	24
Nb	44	154	LYS	TT	24
Nb	1342	135	LYS	TT	25
Nb	48	149	LYS	TT	25
Nb	163	180	LYS	TT	26
Nb	140	157	LYS	TT	26
Nb	80	169	LYS	TT	26
Nb	63	136	LYS	TT	26
Nb	44	141	LYS	TT	26
Nb	37	173	LYS	TT	26
Mo	259	234	LYS	TT	61
Mo	259	218	LYS	TT	61
Mo	222	234	LYS	TT	61
Mo	224	214	LYS	TT	61
Mo	108	240	LYS	TT	61
Mo	108	217	LYS	TT	61
Mo	73	334	LYS	TT	61
Mo	74	302	LYS	TT	61
Mo	66	308	LYS	TT	61
Mo	64	338	LYS	TT	61
Mo	64	285	LYS	TT	61
Mo	56	334	LYS	TT	61
Mo	56	318	LYS	TT	61
Mo	56	380	LYS	TT	61
Mo	42	389	LYS	TT	61
Mo	43	373	LYS	TT	61
Mo	32	389	LYS	TT	61
Mo	32	435	LYS	TT	61
Mo	451	176	LYS	TT	62
Mo	365	168	LYS	TT	62
Mo	404	159	LYS	TT	62
Mo	331	160	LYS	TT	62
Mo	275	176	LYS	TT	62
Mo	205	170	LYS	TT	62
Mo	165	183	LYS	TT	62
Mo	139	178	LYS	TT	62
Mo	419	134	LYS	TT	62
Mo	301	150	LYS	TT	62
Mo	44	236	LYS	TT	62
Mo	60	254	LYS	TT	62
Mo	47	263	LYS	TT	62
Mo	35	292	LYS	TT	62
Mo	38	304	LYS	TT	62
Mo	33	316	LYS	TT	62
Mo	31	322	LYS	TT	62
Mo	28	335	LYS	TT	62
Mo	28	321	LYS	TT	62
Mo	27	321	LYS	TT	62
Mo	482	135	LYS	TT	63
Mo	81	239	LYS	TT	63
Mo	19	377	LYS	TT	63
Mo	77	358	UTS	TT	64
Mo	13	390	UTS	TT	64
Mo	10	564	UTS	TT	64
Mo	7	629	UTS	TT	64
Mo	6	618	UTS	TT	64
Mo	3.8	726	UTS	TT	64
Mo	4.3	813	UTS	TT	64
Mo	3.5	943	UTS	TT	64
Mo	3	867	UTS	TT	64
Mo	2.5	965	UTS	TT	64
Mo	1.6	1399	UTS	TT	64
Mo	1.3	1311	UTS	TT	64
Mo	0.86	1636	UTS	TT	64
Mo	0.17	1832	-	VH	65
Mo	0.09	2264	-	VH	65
Mo	0.08	2318	-	VH	65
Mo	0.08	2882	-	VH	65
Mo	0.04	3772	-	VH	65
Mo	0.04	3745	-	VH	65
Mo	0.03	3423	-	VH	65
Mo	0.02	3909	-	VH	65
Mo	517	229	LYS	TT	66
Mo	260	240	LYS	TT	66
Mo	33	376	LYS	TT	66
Mo	33	374	LYS	TT	66
Ta	3862	142	LYS	TT	31
Ta	3685	133	LYS	TT	31
Ta	2548	139	LYS	TT	31
Ta	2551	150	LYS	TT	31
Ta	74	166	LYS	TT	31
Ta	64	165	LYS	TT	31
Ta	55	194	LYS	TT	31
Ta	43	189	LYS	TT	31
Ta	39	196	LYS	TT	31
Ta	35	214	LYS	TT	31
Ta	34	209	LYS	TT	31
Ta	32	194	LYS	TT	31
Ta	27	217	LYS	TT	31
Ta	23	229	LYS	TT	31
Ta	20	232	LYS	TT	31
Ta	18	221	LYS	TT	31
Ta	1.2	678	0.002	TT	14
Ta	0.72	806	0.002	TT	14
Ta	0.63	853	0.002	TT	14
Ta	0.52	923	0.002	TT	14
Ta	906	221	LYS	TT	32
Ta	846	230	LYS	TT	32
Ta	601	202	LYS	TT	32
Ta	213	225	LYS	TT	32
Ta	174	235	LYS	TT	32
Ta	175	240	LYS	TT	32
Ta	55	254	LYS	TT	32
Ta	55	258	LYS	TT	32
Ta	48	262	LYS	TT	32
Ta	36	264	LYS	TT	32
Ta	32	258	LYS	TT	32
Ta	24	276	LYS	TT	32
Ta	380	292	-	VH	33
Ta	283	295	-	VH	33
Ta	310	297	-	VH	33
Ta	318	276	-	VH	33
Ta	154	270	-	VH	33
Ta	97	275	-	VH	33
Ta	96	288	-	VH	33
Ta	70	267	-	VH	33
Ta	63	263	-	VH	33
Ta	64	269	-	VH	33
Ta	46	272	-	VH	33
Ta	42	272	-	VH	33
Ta	34	276	-	VH	33
Ta	39	293	-	VH	33
Ta	21	306	-	VH	33
Ta	14	301	-	VH	33
Ta	15	314	-	VH	33
Ta	16	317	-	VH	33
Ta	18	323	-	VH	33
Ta	18	321	-	VH	33
Ta	17	323	-	VH	33
Ta	16	322	-	VH	33
Ta	16	325	-	VH	33
Ta	15	329	-	VH	33
Ta	13	327	-	VH	33
Ta	13	319	-	VH	33
Ta	12	332	-	VH	33
Ta	11	329	-	VH	33
Ta	0.38	693	-	VH	33
